"x","y","z"
-160.710695272986,-163.119487929736,60.7045335429642
-166.500062191354,-169.564338180898,64.0872684103577
-156.495204831179,-165.219984952788,61.0366387350472
-162.65695799063,-170.724342837578,65.317052530272
-153.491018382949,-168.58625583961,59.6453341062924
-159.369201289687,-173.213857192616,64.8347183641326
-152.518395610367,-172.342090673124,56.9321857581288
-157.517732537295,-176.365762920243,62.7694450688197
-157.573511727175,-179.328955913777,59.8125410358248
-167.316946474961,-191.14482492292,63.7669814336127
-172.031118595669,-201.00554731938,73.2961422274533
-164.992418873597,-190.326763273304,66.5236081531284
-170.707132258055,-190.586815121848,62.0000052210339
-174.844954532651,-200.776053026196,70.7549782974945
-174.202150970616,-188.727317295617,61.6676446933963
-178.429236149156,-199.293976433325,69.5452363818995
-176.794329950288,-185.977463371625,62.8930716852992
-181.708198759628,-196.811013676567,70.0262826649765
-177.859141818405,-183.160894084417,65.3120855055788
-183.800882180031,-193.991707412726,72.0656356794546
-177.160538901904,-181.106002854761,68.3004744893499
-184.235572627741,-191.727348484924,75.0433077513501
-174.802379809034,-180.299909817293,71.3104580626181
-182.846921630025,-190.615045322792,78.3613837873614
-171.323476650568,-180.859662318745,73.6916213230589
-179.80541471927,-190.791557683341,81.9723626006147
-167.793206910989,-182.717833806409,74.2865370369168
-176.043275358241,-192.226992318513,84.3254839241038
-165.245948328941,-185.472441138252,72.8127306678081
-172.818214160611,-194.729465344256,83.9232459068108
-164.27086395114,-188.287649025903,69.7809776016149
-170.966246986767,-197.618202144694,80.8323171271801
-170.705320606328,-199.916026037582,76.7060433292995
-178.048484249338,-199.930621627357,-104.509158189547
-171.352314220863,-193.975890944877,-87.3981861259229
-156.745831043785,-181.365497352227,-76.37227430343
-165.030070034109,-187.100874926718,-98.7631351223839
-185.254870573695,-201.991472616375,-94.7267867270781
-181.611591646502,-192.950916896066,-79.1140339425466
-166.446515360555,-185.578496028634,-67.3989763932131
-195.369197506227,-197.915721261301,-87.2701143771852
-193.068770149243,-187.041834861462,-73.6856602242654
-178.898523640807,-182.530136423284,-61.325348578469
-205.491058204525,-190.058199620891,-85.754447626105
-202.55900074808,-176.827339507922,-75.9717447123489
-189.862325537747,-174.154331660022,-59.6846717413839
-213.240341637692,-180.424214424888,-90.4535323833477
-207.591017724548,-166.227006403854,-81.883251911039
-196.960120080465,-162.235820796753,-62.8391049860616
-215.19607557528,-171.559450664464,-98.7112769320654
-205.044277008485,-156.712337317492,-92.5742666299215
-197.037272033331,-150.733432376879,-70.2856433041064
-211.360645983843,-164.351689247556,-109.999543095038
-198.793413298348,-150.968348780688,-102.578762481589
-191.324319912731,-141.589225787936,-79.8170186873338
-203.667591125662,-162.862437139252,-119.117782945052
-188.197403774666,-151.898017690832,-110.003864650845
-182.135728750313,-138.21146340634,-87.1376427569145
-192.840184843457,-166.070984060056,-125.982731110087
-176.156432693809,-156.617304735257,-115.280512878431
-169.322429867232,-140.5235119998,-93.222448120709
-183.222778159702,-173.640532881834,-127.370362320798
-167.804019525659,-167.686618094024,-113.013765799917
-158.384079324708,-148.94937680012,-94.8381410549338
-176.250223789498,-184.076626825239,-123.257997652125
-162.882578278388,-178.401680600253,-108.060490535135
-151.854218164203,-161.361852082307,-91.6685500298826
-174.276710630139,-192.657768686435,-115.792433313651
-151.239527075402,-171.978938214623,-85.8996681659801
-193.112651987953,-207.950898188596,-116.498330821228
-189.022294710364,-206.669097573419,-107.032428418898
-184.470907233726,-202.39831956376,-117.108608003284
-198.482265238277,-208.691898427664,-109.394289394202
-196.878127604408,-204.949808612971,-99.9113306619922
-206.435953297269,-206.295837040024,-104.118359751739
-206.408313795796,-200.202474531867,-94.7318491491778
-213.979428436557,-200.457889623426,-102.941423555616
-214.23649901319,-191.500519780333,-97.2500918631796
-219.158682440985,-192.729963530591,-106.148694434109
-219.128421852425,-183.520178142476,-102.327451522139
-221.1697436669,-186.343771177987,-112.06690420104
-218.410258856335,-176.407739121732,-111.750204588931
-218.91740817073,-181.567761230771,-121.158858916367
-213.553985481415,-172.456042505672,-121.851190728336
-213.428992686261,-180.945360785653,-128.178534035372
-205.367420185615,-174.275990167443,-128.502223717262
-206.049073715637,-184.210207489298,-132.837483501416
-196.029276392775,-178.965577236764,-133.152115345074
-198.619869389011,-189.983089176898,-133.98533790257
-188.530243676688,-187.427724871068,-131.031151416398
-192.87064376502,-196.840057717787,-131.394109000791
-183.572884136696,-195.529583811383,-126.526002467573
-190.864115189626,-203.172714498879,-125.589346232429
-204.433000772134,-212.067649348229,-123.608214170164
-201.011734119846,-210.623053516974,-116.910191258021
-197.84118606965,-208.416114477592,-123.969447515142
-208.141532750405,-212.468704753009,-118.370623754134
-206.64512313288,-209.697352748816,-111.91517798298
-213.364648768516,-210.568956931003,-114.820479059307
-213.46024617067,-206.552889176762,-108.793287945026
-218.481335324162,-206.618609285792,-114.01102660231
-218.659760835878,-200.419824559209,-110.017179061269
-222.204608191537,-201.611340546455,-116.145898584027
-221.834061586832,-194.550144391653,-113.617893455654
-223.71173095385,-197.183594159801,-120.558378870077
-221.86116952117,-189.878108385566,-120.169784019416
-222.226975025253,-193.970283096681,-126.854582354246
-218.486142223267,-187.335872188394,-127.685790242035
-218.569422124264,-193.72856059027,-131.636840934535
-213.2781407807,-189.040624387136,-131.637104986885
-213.7151830238,-196.221006958541,-134.626140764162
-206.968685544325,-192.815920710379,-134.811717150355
-208.598458769052,-200.171350638772,-135.435573880616
-201.280225551099,-198.308602975642,-133.5308587717
-204.506280796482,-204.585933127159,-133.861571059929
-197.667577675335,-203.406626520126,-130.977172715618
-202.948227008141,-208.854368907331,-129.904449295732
-213.57883532927,-216.397509568022,-129.38539003894
-210.577037674262,-215.184449063804,-124.51969119113
-208.330362961243,-213.718963713459,-129.538998607135
-216.121196233768,-216.709159394762,-125.0899013142
-214.443744704159,-214.319185895195,-120.523764402973
-219.078772965838,-215.462548945972,-123.080629462021
-219.025561984535,-211.735601430617,-118.694798183952
-223.419043322594,-212.111621703519,-122.393986410228
-222.914341005625,-207.779476635543,-119.183722982985
-225.689925843896,-209.321640541993,-123.576160761124
-225.422276499806,-203.723277926605,-122.171250320789
-226.825751810091,-206.170322010508,-127.289825621871
-225.531196759122,-200.439168806868,-126.817883024256
-225.828956962699,-203.959154164084,-131.779954244395
-223.168772278436,-198.792864538144,-131.98789529101
-223.022933509365,-203.381441188187,-135.707170459168
-219.36170171544,-199.915127693862,-135.106568913131
-220.107933786093,-204.705484900189,-137.607693901846
-214.961574976104,-202.675903188387,-137.219324043801
-215.767625840249,-208.056382079746,-138.294309874446
-210.891062184743,-206.454846820361,-136.446572308405
-213.454170927209,-210.768933751765,-137.220896599618
-208.323520377039,-210.254064212695,-134.33636779427
-212.582043944136,-214.186337499566,-133.875551815457
-175.864015498059,-128.110647140068,-58.7422224823024
-171.471854569285,-125.010559581594,-28.9724954785838
-184.274454940267,-136.761256143452,-52.1444386568816
-163.546518974856,-127.546642262403,-63.9895638444734
-160.148931608145,-119.273251298274,-32.9937401105457
-150.382069927925,-132.140624966508,-68.0406641439547
-146.187814708257,-121.13855347631,-36.5185286164599
-141.983609709504,-144.169285336131,-67.1499779043917
-135.170771977269,-129.724932554203,-38.0994079447609
-138.382962213959,-156.582747812195,-64.3160881204539
-129.267122521232,-142.917507172233,-37.5002180243023
-142.914816715721,-168.006110246754,-58.3347401148411
-130.907315504923,-155.656466689064,-34.9680972605348
-151.675830189751,-176.816803601091,-51.2553565620499
-139.052964282209,-167.19029163,-31.1765032530102
-164.419415148581,-177.43938218681,-45.843921773458
-150.710679077019,-172.584617392495,-27.9312965980058
-177.051231485645,-172.283048759365,-42.6863330401863
-164.578420990345,-170.46186110209,-25.4739542835282
-185.610416787854,-161.311560294732,-42.6978919762632
-175.174012823952,-162.417319377702,-23.9118323970857
-189.266567433847,-148.223513390342,-45.682777459242
-181.148923913287,-149.486229039383,-23.4514980870715
-179.59539206923,-136.548419850539,-25.188837716912
-139.524056320355,-167.824656206709,-8.94055348171666
-130.196101298279,-158.553420372838,-9.28917151779886
-153.157993389195,-169.457147312232,-8.50676103876134
-165.955064470903,-164.519527569085,-7.4494047987656
-173.992117998859,-153.664864765399,-5.44807288080268
-176.155062345857,-140.098139220048,-3.56123982051405
-170.020332207781,-128.479905294022,-3.42869234841247
-160.606617145451,-118.707915032468,-4.64561017084547
-147.038549474002,-117.213396041775,-6.31643455418416
-133.744297204601,-121.864136317742,-8.04846964821409
-125.714075935359,-133.607126549455,-9.40254971704289
-123.634143851946,-146.742321175068,-10.0657414052581
-176.198728952256,-206.795365598608,76.2576332936604
-176.722047244854,-208.755869743625,79.871195777403
-174.094648529342,-206.647260066676,79.7760025837045
-179.562648883017,-205.533504468024,73.9835797837488
-179.372228177692,-208.101533690285,76.3744037510303
-183.410840806486,-203.212350968326,73.5786974789913
-182.238054752372,-206.550074728832,75.2491052863724
-186.516447695963,-200.266105619622,75.001576943294
-186.558778565165,-203.276523820688,75.8808213643179
-188.11589922993,-197.731047225589,77.9584804275475
-188.543368648282,-201.144583983731,77.7052628102813
-187.701826734386,-196.124981060392,81.5156415256749
-189.057084360523,-199.253117964758,81.4902455669665
-185.201069099645,-195.785783754604,85.5747462465274
-187.443278830321,-198.278391669476,85.5341848004149
-181.243452690293,-196.73625770418,90.329619366182
-183.869585575135,-198.37517552363,91.3685754568684
-177.408267904742,-199.112715657963,91.7800645522466
-180.68468093177,-199.765252951965,94.4399513694605
-174.585534073034,-202.110985604597,89.74377682796
-176.650219866755,-203.1426883076,94.2262510165459
-173.615471154777,-204.970402675804,84.3582506251382
-175.208346139275,-205.517177866524,90.7823981162653
-175.384864165901,-207.881520672,84.3191528564782
-222.164486305872,-214.428444907814,-125.394772039264
-218.501458361873,-216.056945761939,-127.936118619529
-221.654632907599,-212.876418127589,-129.74635022975
